# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2431
#@/user_id	5b754ccd-decf-4aa1-80f7-2bdb3ab9e58b
a 	啊	c=8 d=1.91803 t=2431
lin jie 	臨界	c=1 d=1 t=2276
lin jin 	臨近	c=1 d=0.0187793 t=2431
ling wai 	另外	c=5 d=1.39905 t=2431
ling yi ge 	另一個	c=1 d=0.222017 t=2431
liu 	流	c=0 d=5.55857e-05 t=2431
liu le 	留了	c=1 d=1 t=1889
liu ti 	流體	c=4 d=0.0945831 t=2431
liu zai 	留在	c=1 d=0.00169512 t=2431
lu jing 	路徑	c=1 d=0.00367942 t=2431
lun 	論	c=4 d=0.0368056 t=2431
lun li 	倫理	c=1 d=0.0128424 t=2431
lun wen 	論文	c=3 d=0.0193243 t=2431
lun zi 	輪子	c=1 d=1 t=2407
ma 	嘛	c=5 d=1.74862 t=2318
ma fan 	麻煩	c=1 d=1 t=2317
ma shang 	馬上	c=1 d=0.0066709 t=2431
